target,source,features,model,H,seed,k,auc_ceiling_within_lco,auc_ceiling_full_lfp,auc_lco_holdout_before,n_cal_cells,n_test_cells,arm,method,auc_pooled,auc_percell_mean,auc_percell_std,ece,brier,tie_delta_mean,tie_delta_max,auc_zeroshot,recovery_ratio,retrain_proximity,delong_p_vs_zeroshot,auc_lco_holdout_after,rank_corr
severson,nasa,with_soh,xgboost,20,42,5,0.8989553798325277,0.9998805171597471,1.0,5,136,zeroshot,raw,0.8790709232780882,0.9946700277402193,0.019307986520379173,0.792160632689862,0.6556841731071472,,,0.8790709232780882,,,,,
severson,nasa,with_soh,xgboost,20,42,5,0.8989553798325277,0.9998805171597471,1.0,5,136,arm_b,warmstart,0.8017794327244482,0.9934530321867615,0.02564805084639016,0.007058489207262394,0.011728944256901741,,,0.8790709232780882,-3.8870305729518977,-0.639779408822053,1.1029569134507706e-179,1.0,
severson,nasa,with_soh,xgboost,20,42,5,0.8989553798325277,0.9998805171597471,1.0,5,136,arm_a,iso,0.7853750933283914,,,0.009634152027269359,0.011814582161605358,0.09369582994969683,0.09369582994969683,0.8790709232780882,-4.712013611897173,-0.7755661362580043,1.6096045339533178e-155,,0.24249946540839154
severson,nasa,with_soh,xgboost,20,42,5,0.8989553798325277,0.9998805171597471,1.0,5,136,arm_a,platt,0.8790348980050607,,,0.010847147468288446,0.011806391179561615,3.6025273027484594e-05,3.6025273027484594e-05,0.8790709232780882,-0.001811730329609709,-0.00029819877602414393,0.0832626835303705,,0.9998976193354352
severson,nasa,with_soh,xgboost,20,42,5,0.8989553798325277,0.9998805171597471,1.0,5,136,arm_a,temp,0.8790709232780882,,,0.5180238281101356,0.2880589933416814,0.0,0.0,0.8790709232780882,0.0,0.0,1.0,,0.9999999999999999
severson,nasa,with_soh,xgboost,20,42,20,0.8989553798325277,0.9998805171597471,1.0,20,121,zeroshot,raw,0.8750594378018228,0.9941224915879237,0.020309193785700192,0.7896899277894122,0.6529622077941895,,,0.8750594378018228,,,,,
severson,nasa,with_soh,xgboost,20,42,20,0.8989553798325277,0.9998805171597471,1.0,20,121,arm_b,warmstart,0.864682074811391,0.9961424361486404,0.015782227655937585,0.01330861332361499,0.01374775730073452,,,0.8750594378018228,-0.43427302330653,-0.08313790462166024,2.894702920074353e-05,0.9986928104575163,
severson,nasa,with_soh,xgboost,20,42,20,0.8989553798325277,0.9998805171597471,1.0,20,121,arm_a,iso,0.8027073814917065,,,0.00909174958948619,0.011875718832015991,0.07235205631011632,0.07235205631011632,0.8750594378018228,-3.0277967789320948,-0.5796461357512129,1.1546832174367885e-121,,0.3528817297967027
severson,nasa,with_soh,xgboost,20,42,20,0.8989553798325277,0.9998805171597471,1.0,20,121,arm_a,platt,0.8750594378018228,,,0.012320026407778685,0.012493102811276913,0.0,0.0,0.8750594378018228,0.0,0.0,1.0,,0.9999957361377619
severson,nasa,with_soh,xgboost,20,42,20,0.8989553798325277,0.9998805171597471,1.0,20,121,arm_a,temp,0.8750594378018228,,,0.5169199572586376,0.2877053586396524,0.0,0.0,0.8750594378018228,0.0,0.0,1.0,,1.0
severson,nasa,with_soh,lightgbm,20,42,5,0.9091700740504244,0.9999831790669155,1.0,5,136,zeroshot,raw,0.891101389784156,0.9956510901586615,0.014420942200869365,0.7948875805540593,0.6536189592730285,,,0.891101389784156,,,,,
