target,source,features,model,H,seed,k,arm,method,auc_pooled,auc_percell_mean,auc_percell_std,ece,brier,tie_delta_mean,tie_delta_max,auc_zeroshot,auc_ceiling_within_lco,auc_ceiling_full_lfp,recovery_ratio,retrain_proximity,delong_p_vs_zeroshot,auc_lco_holdout_before,auc_lco_holdout_after,n_cal_cells,n_test_cells,rank_corr
severson,nasa,with_soh,xgboost,10,0,0,zeroshot,raw,0.8473941683176689,,,0.8819719013078084,0.8206451535224915,,,0.8473941683176689,0.90298168670827,0.9998874320531784,,,,0.9928571428571428,,0,141,
severson,nasa,with_soh,xgboost,10,0,-1,retrain_lfp,full,0.9998874320531784,,,0.0007099564333114,0.0004959839279763,,,0.8473941683176689,0.90298168670827,0.9998874320531784,,,,0.9928571428571428,,141,141,
severson,nasa,with_soh,xgboost,20,0,0,zeroshot,raw,0.8819531437051823,,,0.7928899195840134,0.6561581492424011,,,0.8819531437051823,0.8989553798325277,0.9998805171597472,,,,1.0,,0,141,
severson,nasa,with_soh,xgboost,20,0,-1,retrain_lfp,full,0.9998805171597472,,,0.0011086232879332,0.0006084867636673,,,0.8819531437051823,0.8989553798325277,0.9998805171597472,,,,1.0,,141,141,
severson,nasa,with_soh,xgboost,30,0,0,zeroshot,raw,0.8888313449828738,,,0.6505616993472212,0.4507850706577301,,,0.8888313449828738,0.9097654214901484,0.9998376327301656,,,,1.0,,0,141,
severson,nasa,with_soh,xgboost,30,0,-1,retrain_lfp,full,0.9998376327301656,,,0.0014244483687418,0.0007667361060157,,,0.8888313449828738,0.9097654214901484,0.9998376327301656,,,,1.0,,141,141,
severson,nasa,with_soh,xgboost,50,0,0,zeroshot,raw,0.8892266555430685,,,0.5354110193683073,0.321795642375946,,,0.8892266555430685,0.9180798198349304,0.9997313341305508,,,,0.9960975609756096,,0,141,
severson,nasa,with_soh,xgboost,50,0,-1,retrain_lfp,full,0.9997313341305508,,,0.0026502004528072,0.0014558845432475,,,0.8892266555430685,0.9180798198349304,0.9997313341305508,,,,0.9960975609756096,,141,141,
severson,nasa,with_soh,lightgbm,10,0,0,zeroshot,raw,0.8397204440106305,,,0.8949169733505957,0.8547944940814398,,,0.8397204440106305,0.911695031163958,0.9999923580086348,,,,0.9928571428571428,,0,141,
severson,nasa,with_soh,lightgbm,10,0,-1,retrain_lfp,full,0.9999923580086348,,,0.0006641262639045,0.0002809748574759,,,0.8397204440106305,0.911695031163958,0.9999923580086348,,,,0.9928571428571428,,141,141,
severson,nasa,with_soh,lightgbm,20,0,0,zeroshot,raw,0.8939945062768763,,,0.7955946597491259,0.6542146154439065,,,0.8939945062768763,0.9091700740504244,0.9999831790669156,,,,1.0,,0,141,
severson,nasa,with_soh,lightgbm,20,0,-1,retrain_lfp,full,0.9999831790669156,,,0.0010144910871176,0.0003336621758001,,,0.8939945062768763,0.9091700740504244,0.9999831790669156,,,,1.0,,141,141,
severson,nasa,with_soh,lightgbm,20,42,10,zeroshot,raw,0.8911270538921781,0.996090504885472,0.014464627721761,0.7957163407689656,0.6545760336949525,,,0.8911270538921781,0.9091700740504244,0.9999831790669156,,,,1.0,,10,131,
severson,nasa,with_soh,lightgbm,20,42,10,arm_b,warmstart,0.8263127408642843,0.993308977641646,0.0380344674707313,0.0133194893472351,0.0133569370746991,,,0.8911270538921781,0.9091700740504244,0.9999831790669156,-3.5922097553203267,-0.5954126414462474,1.76480897391328e-126,1.0,1.0,10,131,
severson,nasa,with_soh,lightgbm,20,42,10,arm_a,iso,0.8450019784928964,,,0.0069671692763358,0.0106901072100789,0.0461250753992816,0.0461250753992816,0.8911270538921781,0.9091700740504244,0.9999831790669156,-2.556394383797261,-0.4237251264018542,3.810193434405376e-73,1.0,,10,131,0.7183841333879486
severson,nasa,with_soh,lightgbm,20,42,10,arm_a,platt,0.8911270538921781,,,0.0091810005696762,0.0112462646041891,0.0,0.0,0.8911270538921781,0.9091700740504244,0.9999831790669156,0.0,0.0,1.0,1.0,,10,131,1.0
severson,nasa,with_soh,lightgbm,20,42,10,arm_a,temp,0.8911270538921781,,,0.5238355962643656,0.2871462423036506,0.0,0.0,0.8911270538921781,0.9091700740504244,0.9999831790669156,0.0,0.0,1.0,1.0,,10,131,1.0
severson,nasa,with_soh,lightgbm,20,123,10,zeroshot,raw,0.8895142351874779,0.995556394348183,0.0145974852295522,0.7958582038684473,0.6550911345374055,,,0.8895142351874779,0.9091700740504244,0.9999831790669156,,,,1.0,,10,131,
severson,nasa,with_soh,lightgbm,20,123,10,arm_b,warmstart,0.8231274983896271,0.9941621257440832,0.0220663802498062,0.0149330475692343,0.0146360280082478,,,0.8895142351874779,0.9091700740504244,0.9999831790669156,-3.377456299918965,-0.6009538469952533,9.708079932052436e-163,1.0,1.0,10,131,
severson,nasa,with_soh,lightgbm,20,123,10,arm_a,iso,0.8244876255079807,,,0.0092299757808411,0.0110892751546528,0.0650266096794971,0.0650266096794971,0.8895142351874779,0.9091700740504244,0.9999831790669156,-3.3082591963083106,-0.5886415439117908,9.605673079471812e-108,1.0,,10,131,0.427233940164236
severson,nasa,with_soh,lightgbm,20,123,10,arm_a,platt,0.8895142351874779,,,0.0118593479762433,0.0114366118324327,0.0,0.0,0.8895142351874779,0.9091700740504244,0.9999831790669156,0.0,0.0,1.0,1.0,,10,131,1.0
severson,nasa,with_soh,lightgbm,20,123,10,arm_a,temp,0.8895142351874779,,,0.523632042580142,0.2871851828574314,0.0,0.0,0.8895142351874779,0.9091700740504244,0.9999831790669156,0.0,0.0,1.0,1.0,,10,131,1.0
severson,nasa,with_soh,lightgbm,20,456,10,zeroshot,raw,0.8883435304547053,0.9955062447234064,0.0147893470086196,0.7946290568072852,0.6532672900392288,,,0.8883435304547053,0.9091700740504244,0.9999831790669156,,,,1.0,,10,131,
severson,nasa,with_soh,lightgbm,20,456,10,arm_b,warmstart,0.8452528953197846,0.9955071943198786,0.0251623955145211,0.009547887576855,0.0096490146521068,,,0.8883435304547053,0.9091700740504244,0.9999831790669156,-2.069024796979652,-0.3859796736247316,8.093325627461126e-73,1.0,1.0,10,131,
severson,nasa,with_soh,lightgbm,20,456,10,arm_a,iso,0.8206200662052276,,,0.0079513338829126,0.0110582441234657,0.0677234642494776,0.0677234642494776,0.8883435304547053,0.9091700740504244,0.9999831790669156,-3.2517860651345973,-0.6066255590316377,3.5626127497996963e-112,1.0,,10,131,0.4323648734148874
severson,nasa,with_soh,lightgbm,20,456,10,arm_a,platt,0.8883435304547053,,,0.0107690118367048,0.0115726899853374,0.0,0.0,0.8883435304547053,0.9091700740504244,0.9999831790669156,0.0,0.0,1.0,1.0,,10,131,1.0
severson,nasa,with_soh,lightgbm,20,456,10,arm_a,temp,0.8883435304547053,,,0.523500180232479,0.2870364632158429,0.0,0.0,0.8883435304547053,0.9091700740504244,0.9999831790669156,0.0,0.0,1.0,1.0,,10,131,1.0
severson,nasa,with_soh,lightgbm,20,789,10,zeroshot,raw,0.8873362657011092,0.9954844049888464,0.0147868291875302,0.796933208957642,0.6564031686217532,,,0.8873362657011092,0.9091700740504244,0.9999831790669156,,,,1.0,,10,131,
severson,nasa,with_soh,lightgbm,20,789,10,arm_b,warmstart,0.8656187166792451,0.9962678926007544,0.0175734512709067,0.0115069737904783,0.0116634866752558,,,0.8873362657011092,0.9091700740504244,0.9999831790669156,-0.9946752611550422,-0.1927931123273591,1.1951634075994645e-43,1.0,0.9986928104575163,10,131,
severson,nasa,with_soh,lightgbm,20,789,10,arm_a,iso,0.8214651622836612,,,0.0089451174386544,0.0112166240125671,0.065871103417448,0.065871103417448,0.8873362657011092,0.9091700740504244,0.9999831790669156,-3.016931465348977,-0.5847572867224529,3.7419043798819184e-107,1.0,,10,131,0.432432657800096
severson,nasa,with_soh,lightgbm,20,789,10,arm_a,platt,0.8873362657011092,,,0.0104508879109604,0.0118136759525043,0.0,0.0,0.8873362657011092,0.9091700740504244,0.9999831790669156,0.0,0.0,1.0,1.0,,10,131,1.0
severson,nasa,with_soh,lightgbm,20,789,10,arm_a,temp,0.8873362657011092,,,0.5237845972618035,0.2873331502672209,0.0,0.0,0.8873362657011092,0.9091700740504244,0.9999831790669156,0.0,0.0,1.0,1.0,,10,131,1.0
severson,nasa,with_soh,lightgbm,20,101112,10,zeroshot,raw,0.8918326787271229,0.995574904004452,0.0146021154036844,0.7930433157479206,0.6515480929905905,,,0.8918326787271229,0.9091700740504244,0.9999831790669156,,,,1.0,,10,131,
severson,nasa,with_soh,lightgbm,20,101112,10,arm_b,warmstart,0.8681249199567465,0.9948916979316644,0.0199247271206895,0.015364806281499,0.0152991503816068,,,0.8918326787271229,0.9091700740504244,0.9999831790669156,-1.3674348613665863,-0.2192108098981535,1.5166281178663811e-38,1.0,1.0,10,131,
severson,nasa,with_soh,lightgbm,20,101112,10,arm_a,iso,0.825892116682311,,,0.0079378343646109,0.0112582715963583,0.0659405620448119,0.0659405620448119,0.8918326787271229,0.9091700740504244,0.9999831790669156,-3.8033718915198143,-0.6097111140275506,7.758619520048331e-112,1.0,,10,131,0.4333161611602247
