source,target,H,feature_set,model,seed,raw_AUC,raw_Brier,raw_ECE10,raw_LogLoss,raw_PRAUC,raw_SensAtFPR10,raw_CalSlope,raw_CalIntercept,raw_AUC_lo,raw_AUC_hi,raw_AUC_percell_mean,raw_AUC_percell_std,raw_n_cells_valid,iso_AUC,iso_Brier,iso_ECE10,iso_LogLoss,iso_PRAUC,iso_SensAtFPR10,iso_CalSlope,iso_CalIntercept,iso_AUC_lo,iso_AUC_hi,iso_AUC_percell_mean,iso_AUC_percell_std,iso_n_cells_valid,platt_AUC,platt_Brier,platt_ECE10,platt_LogLoss,platt_PRAUC,platt_SensAtFPR10,platt_CalSlope,platt_CalIntercept,platt_AUC_lo,platt_AUC_hi,platt_AUC_percell_mean,platt_AUC_percell_std,platt_n_cells_valid,temp_AUC,temp_Brier,temp_ECE10,temp_LogLoss,temp_PRAUC,temp_SensAtFPR10,temp_CalSlope,temp_CalIntercept,temp_AUC_lo,temp_AUC_hi,temp_AUC_percell_mean,temp_AUC_percell_std,temp_n_cells_valid
nasa,oxford,10,common_with_soh,gru,42,0.03775456228510976,0.7027278273109714,0.7018196975101124,3.1915241109430643,0.15668416464469648,0.0,-5.839295502508834,19.80860358796497,0.010695187165775402,0.056777207861459546,0.06785714285714287,0.14842808255721013,5,0.05058185665167945,0.7221567738798272,0.719869720285589,8.936522944482174,0.1568800966840257,0.0,-0.5714371502457173,3.5920968685576105,,,0.17619047619047618,0.2496667279728906,5,0.03775456228510976,0.6086307613374536,0.6358224961975446,1.814028756872893,0.15668416464469648,0.0,-40.41431820894162,92.12010153717695,0.010695187165775402,0.056777207861459546,0.06785714285714287,0.14842808255721013,5,0.03775456228510976,0.6227436403189501,0.6308276696903343,1.939641291568109,0.15668416464469648,0.0,-10.035923426186985,19.78150020371127,,,0.06785714285714287,0.14842808255721013,5
nasa,oxford,10,common_with_soh,gru,1,0.10043639248875959,0.7001142272800016,0.7055447686802258,2.99289546225927,0.17458568210776396,0.013157894736842105,-7.355260613100487,28.04384288878132,0.04059454191033138,0.18006993006993005,0.238989898989899,0.4264731287636157,5,0.5,0.7236363636363636,0.7236363636363636,9.997406098288021,0.27636363636363637,0.0,-0.0693101170803827,-0.0050168339304807325,,,0.5,0.0,5,0.10043639248875959,0.47362521865040985,0.5215289842823922,1.2246094672911179,0.17458568210776396,0.013157894736842105,-90.22505624770045,122.45519186590492,0.04059454191033138,0.18006993006993005,0.238989898989899,0.4264731287636157,5,0.10043639248875959,0.5726375429900905,0.6048121841931123,1.6120665683184972,0.17458568210776396,0.013157894736842105,-14.729003254039979,28.044014334019455,,,0.238989898989899,0.4264731287636157,5
nasa,oxford,10,common_with_soh,gru,7,0.6005686326368685,0.6739742605978,0.6942181062698365,3.0971840896623526,0.3278136838655345,0.013157894736842105,2.246484152851511,-11.601514766305323,0.48679867986798675,0.7113867893526126,0.6611495784916837,0.17276197548593963,5,0.5301507537688442,0.6959090881448852,0.7014964957670732,9.44802553690333,0.2889733840304182,0.21052631578947367,0.7116733775196309,-10.732507482042582,,,0.5303986291486291,0.007013393170131148,5,0.6005686326368685,0.5512165630107927,0.5980074540797621,1.5419239314915596,0.3278136838655345,0.013157894736842105,38.2119945029786,-81.01521693935238,0.48679867986798675,0.7113867893526126,0.6611495784916837,0.17276197548593963,5,0.6005686326368685,0.5935615438855896,0.6355842343195212,1.8598380695177388,0.3278136838655345,0.013157894736842105,3.884611335186462,-11.545464760050907,,,0.6611495784916837,0.17276197548593963,5
nasa,oxford,20,common_with_soh,gru,42,0.03881248346998148,0.7215093258658118,0.722074432589791,4.7470692075879874,0.21777503358506092,0.0,-26.523515899541422,167.425962315669,0.026949317738791414,0.04600389863547755,0.025537518037518046,0.003509593030903712,5,0.5,0.7236363636363636,0.7236363636363636,9.997406098288021,0.27636363636363637,0.0,-0.0693101170803827,-0.0050168339304807325,,,0.5,0.0,5,0.03881248346998148,0.6769813215424494,0.6906310508662665,2.4780282587286098,0.21777503358506092,0.0,-0.26218826081445623,-0.07750215218764443,0.026949317738791414,0.04600389863547755,0.025537518037518046,0.003509593030903712,5,0.03881248346998148,0.6616062381084831,0.6780426795907248,2.2748486133352994,0.21777503358506092,0.0,-56.47594161627125,167.38653141845936,,,0.025537518037518046,0.003509593030903712,5
nasa,oxford,20,common_with_soh,gru,1,0.19842634223750333,0.6535774946870009,0.6721732475540855,2.4261292915999806,0.1920389922085885,0.013157894736842105,-0.017187524398663483,-0.9066762058947734,0.15648148148148144,0.26470588235294124,0.32802669552669556,0.37617409633874893,5,0.3109957683152605,0.5428444350188811,0.5311131354895506,4.776058120823326,0.24368229833028152,0.013157894736842105,-0.3006717294069245,-0.1494325567565567,,,0.38565320498215233,0.23759742345419954,5,0.19842634223750333,0.4286602042147667,0.4792698372415865,1.100469255439017,0.1920389922085885,0.013157894736842105,1.3777490627862439,-2.5651773735345547,0.15648148148148144,0.26470588235294124,0.32802669552669556,0.37617409633874893,5,0.19842634223750333,0.4139071797566118,0.4615486484870088,1.0617571589093597,0.1920389922085885,0.013157894736842105,-0.054316851584486035,-0.9061338552500252,,,0.32802669552669556,0.37617409633874893,5
nasa,oxford,20,common_with_soh,gru,7,0.19217799523935464,0.5566036826024494,0.5943241856314919,1.630749816516844,0.1824060432957429,0.0,7.585503374296282,-18.295260170344946,0.16378264310208387,0.21907883387959287,0.23435786435786438,0.14961819681362692,5,0.5380521026183549,0.4840243046548308,0.5331360723755577,1.2750792912976285,0.29251259756155723,0.0,12.607061832438989,-20.643989709509555,,,0.4509810511126301,0.1503050939006873,5,0.19217799523935464,0.5217490212688519,0.5676521846307512,1.4419123025194085,0.1824060432957429,0.0,27.002837656937263,-53.2019758738307,0.16378264310208387,0.21907883387959287,0.23435786435786438,0.14961819681362692,5,0.19217799523935464,0.3851395022892725,0.4353132794288134,0.9904968426942404,0.1824060432957429,0.0,21.124102594206132,-22.27399446544308,,,0.23435786435786438,0.14961819681362692,5
nasa,oxford,30,common_with_soh,gru,42,0.9885281671515473,0.7222189123163344,0.7226725129647689,5.01607725100452,0.9699850656081672,1.0,2032.8432841176555,-14204.675330229218,0.9821238129094509,1.0,1.0,0.0,5,0.5,0.7236363636363636,0.7236363636363636,9.997406098288021,0.27636363636363637,0.0,-0.0693101170803827,-0.0050168339304807325,,,0.5,0.0,5,0.9885281671515473,0.5186788225298754,0.5645360881789011,1.3780589278579276,0.9699850656081672,1.0,-0.42479525571421545,-0.2552797641522694,0.9821238129094509,1.0,1.0,0.0,5,0.9885281671515473,0.5512513365650337,0.5932845400622153,1.5099552043472382,0.9699850656081672,1.0,4045.36643581301,-7723.202282361147,,,1.0,0.0,5
nasa,oxford,30,common_with_soh,gru,1,0.2882835228775456,0.3977398399522037,0.4311547036604447,1.0458322083650182,0.1998096634546328,0.0,0.3227198219203293,-1.2763133837134215,0.2534496753246753,0.3227513227513228,0.2896890331890332,0.04917468822790053,5,0.3060698227982015,0.3880897512138773,0.44181200027465817,0.9988051422449346,0.2007482387666793,0.013157894736842105,2.4353984237272317,-3.372975669812213,,,0.3636771284271284,0.19242527684640673,5,0.2882835228775456,0.3167769130365328,0.3434487092018011,0.833448770376243,0.1998096634546328,0.0,0.800087776888875,-1.3914091125648265,0.2534496753246753,0.3227513227513228,0.2896890331890332,0.04917468822790053,5,0.2882835228775456,0.2709913691977981,0.2710712844275376,0.7352096504740464,0.1998096634546328,0.0,1.5204845428214007,-1.2758792147906433,,,0.2896890331890332,0.04917468822790053,5
nasa,oxford,30,common_with_soh,gru,7,0.9820153398571807,0.1648584816498477,0.13382432336876676,0.4798020330964818,0.9583222079276739,0.9210526315789473,27.488242540444432,27.567809094949855,0.9717637499365193,0.9985346643465518,1.0,0.0,5,0.48875958741073794,0.3423648360891996,0.37427638836205007,0.8811798571002296,0.2776861263370763,0.039473684210526314,158.66715137919468,-117.08686324702349,,,0.4580503341687553,0.06700924441127752,5,0.9820153398571807,0.1900289141358541,0.29749143599535477,0.5682174176809733,0.9583222079276739,0.9210526315789473,78.24559530672393,34.61429087078462,0.9717637499365193,0.9985346643465518,1.0,0.0,5,0.9820153398571807,0.2041832411530433,0.14693405892510875,0.5979464476977098,0.9583222079276739,0.9210526315789473,147.69223941498532,27.484821467362277,,,1.0,0.0,5
nasa,oxford,50,common_with_soh,gru,42,0.3514943136736313,0.7111269673947566,0.7137157932194796,3.725903142222047,0.21501158078188612,0.0,-28.390199218794308,122.56219071304425,0.2662297128589264,0.4412540584415585,0.3422366522366523,0.12140089145458798,5,0.35675085956096275,0.5301220524402037,0.5409685759110885,3.822743409176986,0.26278051197267144,0.0,-0.8421684783596002,0.3962136178865103,,,0.35589251537935745,0.03773634842915847,5,0.3514943136736313,0.47187822373980776,0.5208178340444022,1.219170169235289,0.21501158078188612,0.0,-877.6795270513451,1194.829239995631,0.2662297128589264,0.4412540584415585,0.3422366522366523,0.12140089145458798,5,0.3514943136736313,0.3903938577934792,0.4219119893461606,0.9998328525352416,0.21501158078188612,0.0,-164.24680049692137,122.03136902638781,,,0.3422366522366523,0.12140089145458798,5
