AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,source,target,baseline,H,model
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,nasa,oxford,soh_dist,10,logistic_soh_dist
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,nasa,oxford,soh_dist,20,logistic_soh_dist
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,nasa,oxford,soh_dist,30,logistic_soh_dist
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,nasa,oxford,soh_dist,50,logistic_soh_dist
1.0,0.1790821765047418,0.3921977048614262,0.5448676140396927,1.0,1.0,471.3303605387561,-205.96651649004207,0.9999999999999999,1.0,1.0,0.0,5,nasa,oxford,soh_only,10,logistic_soh_only
1.0,0.22122633548856374,0.43430075146891867,0.6299892554637538,1.0,1.0,162.90963580222905,-131.49746728332383,0.9999999999999999,1.0,1.0,0.0,5,nasa,oxford,soh_only,20,logistic_soh_only
1.0,0.2645128334582275,0.4295986491744737,0.7192108695451306,1.0,1.0,348.42691453573497,-416.77001384406805,0.9999999999999999,1.0,1.0,0.0,5,nasa,oxford,soh_only,30,logistic_soh_only
1.0,0.3529075268258717,0.49865615515537676,0.9284871750459059,1.0,1.0,290.21504436934475,-548.3370199700638,0.9999999999999999,1.0,1.0,0.0,5,nasa,oxford,soh_only,50,logistic_soh_only
0.9843075927523728,0.6979379763692327,0.7183213748508968,7.852256518620736,0.9294595984540177,1.0,21.883268002617456,-302.8956061400053,0.9726009088479016,0.9998536299765808,0.9947368421052631,0.011768778828946298,5,nasa,oxford,cycle_only,10,logistic_cycle_only
0.9886755823986195,0.6958689803252652,0.7187751140852264,7.443025901448496,0.9647736220192759,1.0,228.88431494647742,-3162.514257957393,0.9827901563019621,0.9998536299765808,1.0,0.0,5,nasa,oxford,cycle_only,20,logistic_cycle_only
0.9886755823986195,0.6990169030130469,0.7216245412309393,7.413086316890743,0.964773622019276,1.0,23.53309475200058,-325.4823127697856,0.9827901563019621,0.9998536299765808,1.0,0.0,5,nasa,oxford,cycle_only,30,logistic_cycle_only
0.9886755823986195,0.702510574227326,0.7252705923664012,7.191672898715988,0.9647736220192759,1.0,44.055734215492784,-608.8649847679158,0.9827901563019621,0.9998536299765808,1.0,0.0,5,nasa,oxford,cycle_only,50,logistic_cycle_only
0.9898619499568593,0.6740844317382206,0.7020929551835102,6.83528787413041,0.9704207977057077,1.0,104.84571665747882,-1448.620655736668,0.9840372464250083,1.0,1.0,0.0,5,nasa,oxford,soh_cycle,10,logistic_soh_cycle
0.9904012079378774,0.6408034655015419,0.6828406392818879,4.725493089871493,0.9717317414150998,1.0,2.2424155376095607,-29.178489196783108,0.9845360824742269,1.0,1.0,0.0,5,nasa,oxford,soh_cycle,20,logistic_soh_cycle
0.9921807592752373,0.5970183663990607,0.6563525307733803,2.982782495057714,0.9768446586634465,1.0,2.162837267873895,-18.61935201796227,0.9870302627203192,1.0,1.0,0.0,5,nasa,oxford,soh_cycle,30,logistic_soh_cycle
0.031924072476272644,0.2611422357870412,0.33126419377543925,1.2324632440229828,0.13206274722536165,0.0,-2.4865951832812208,-9.290394624200946,0.006677018633540372,0.0903781979977753,0.1703174603174603,0.37686113281827743,5,nasa,oxford,soh_cycle,50,logistic_soh_cycle
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,nasa,oxford,sensors,10,logistic_sensors
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,nasa,oxford,sensors,20,logistic_sensors
0.527232528041415,0.2375,0.2375,3.281184520016896,0.31755513156555326,0.27631578947368424,0.08398902762068323,-0.006079328982569948,0.0515954332552693,0.8327496552591028,0.4899822963264138,0.42057684164671394,5,nasa,oxford,sensors,30,logistic_sensors
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa,oxford,sensors,50,logistic_sensors
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa,oxford,full,10,logistic_full
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa,oxford,full,20,logistic_full
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa,oxford,full,30,logistic_full
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa,oxford,full,50,logistic_full
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,calce,oxford,soh_dist,10,logistic_soh_dist
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,calce,oxford,soh_dist,20,logistic_soh_dist
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,calce,oxford,soh_dist,30,logistic_soh_dist
1.0,,,,1.0,1.0,,,0.9999999999999999,1.0,1.0,0.0,5,calce,oxford,soh_dist,50,logistic_soh_dist
1.0,0.6299680321389991,0.6852084549792273,1.9156806481246929,1.0,1.0,425.77540493816156,-1401.4803781331273,0.9999999999999999,1.0,1.0,0.0,5,calce,oxford,soh_only,10,logistic_soh_only
1.0,0.6400969886582278,0.6914712554604556,1.980028923958186,1.0,1.0,430.1826379209483,-1454.113101492519,0.9999999999999999,1.0,1.0,0.0,5,calce,oxford,soh_only,20,logistic_soh_only
1.0,0.6494280725517553,0.6972515155078514,2.045667128438985,1.0,1.0,386.6921093937683,-1345.3894773497047,0.9999999999999999,1.0,1.0,0.0,5,calce,oxford,soh_only,30,logistic_soh_only
1.0,0.6673526903654877,0.7081868484260871,2.187706789033791,1.0,1.0,127.00697376051622,-469.06419042873284,0.9999999999999999,1.0,1.0,0.0,5,calce,oxford,soh_only,50,logistic_soh_only
0.7561475409836066,0.7289807533343277,0.7386753100653084,9.205923035200808,0.38974358974358975,0.013157894736842105,10.958258797472164,-152.30497079191315,0.7323420074349443,0.7802690582959642,0.7589587533728547,0.029355368208340445,5,calce,oxford,cycle_only,10,logistic_cycle_only
0.7561475409836066,0.7306216235530762,0.7402334629865313,9.216568601886447,0.38974358974358975,0.013157894736842105,9.169395852289519,-127.59088952375095,0.7323420074349443,0.7802690582959642,0.7589587533728547,0.029355368208340445,5,calce,oxford,cycle_only,20,logistic_cycle_only
0.7561475409836066,0.7321644764619654,0.74160371408647,9.236632464690501,0.38974358974358975,0.013157894736842105,11.421064124501678,-158.69883459003313,0.7323420074349443,0.7802690582959642,0.7589587533728547,0.029355368208340445,5,calce,oxford,cycle_only,30,logistic_cycle_only
0.7561475409836066,0.7352432021308701,0.7442504272353764,9.28092374535268,0.38974358974358975,0.013157894736842105,26.37098956040729,-365.2396404352075,0.7323420074349443,0.7802690582959642,0.7589587533728547,0.029355368208340445,5,calce,oxford,cycle_only,50,logistic_cycle_only
0.7971311475409836,0.7243192497430707,0.7352790063902341,9.014890042252302,0.4342857142857143,0.19736842105263158,53.99790233975101,-746.8652037523548,0.7695167286245352,0.8251121076233184,0.8003921539125114,0.03405222712167492,5,calce,oxford,soh_cycle,10,logistic_soh_cycle
0.7971311475409836,0.7265305887595486,0.7372922500184687,9.042771949789506,0.4342857142857143,0.19736842105263158,186.66561600009,-2579.7429661540054,0.7695167286245352,0.8251121076233184,0.8003921539125114,0.03405222712167492,5,calce,oxford,soh_cycle,20,logistic_soh_cycle
0.7971311475409835,0.7281285836816787,0.7387374854124776,9.058525392683208,0.4342857142857143,0.19736842105263158,346.5314860284424,-4788.38550483078,0.7695167286245354,0.8251121076233183,0.8003921539125114,0.03405222712167492,5,calce,oxford,soh_cycle,30,logistic_soh_cycle
0.7971311475409836,0.7316259348407452,0.7417569652016505,9.104069763687766,0.4342857142857143,0.19736842105263158,10.877527077800504,-151.16279519998017,0.7695167286245352,0.8251121076233184,0.8003921539125114,0.03405222712167492,5,calce,oxford,soh_cycle,50,logistic_soh_cycle
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,sensors,10,logistic_sensors
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,sensors,20,logistic_sensors
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,sensors,30,logistic_sensors
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,sensors,50,logistic_sensors
