source,target,H,feature_set,model,raw_AUC,raw_Brier,raw_ECE10,raw_LogLoss,raw_PRAUC,raw_SensAtFPR10,raw_CalSlope,raw_CalIntercept,raw_AUC_lo,raw_AUC_hi,raw_AUC_percell_mean,raw_AUC_percell_std,raw_n_cells_valid,iso_AUC,iso_Brier,iso_ECE10,iso_LogLoss,iso_PRAUC,iso_SensAtFPR10,iso_CalSlope,iso_CalIntercept,iso_AUC_lo,iso_AUC_hi,iso_AUC_percell_mean,iso_AUC_percell_std,iso_n_cells_valid,platt_AUC,platt_Brier,platt_ECE10,platt_LogLoss,platt_PRAUC,platt_SensAtFPR10,platt_CalSlope,platt_CalIntercept,platt_AUC_lo,platt_AUC_hi,platt_AUC_percell_mean,platt_AUC_percell_std,platt_n_cells_valid,temp_AUC,temp_Brier,temp_ECE10,temp_LogLoss,temp_PRAUC,temp_SensAtFPR10,temp_CalSlope,temp_CalIntercept,temp_AUC_lo,temp_AUC_hi,temp_AUC_percell_mean,temp_AUC_percell_std,temp_n_cells_valid
nasa,oxford,20,full,xgboost,0.9569672131147541,0.22396174863241924,0.30585035278927536,0.6277339591007696,0.7835051546391752,1.0,51.00645942927637,-84.37710737755484,0.9313725490196078,0.9866071428571429,0.9591210014745268,0.03734592503416539,5,0.7151639344262295,0.19193993743085264,0.16600867197001967,0.5651692683980463,0.35348837209302325,0.18421052631578946,1129.324827192799,157.47988626189007,,,0.7159198238592479,0.022248970244174153,5,0.9569672131147541,0.16110251735041703,0.19477649826245658,0.5010650182546778,0.7835051546391752,1.0,194.4065309042607,-37.63828104057745,0.9313725490196078,0.9866071428571429,0.9591210014745268,0.03734592503416539,5,0.9569672131147541,0.21646613670207177,0.3452363836052033,0.6237488472717889,0.7835051546391752,1.0,184.89052613886983,-81.38665798848969,,,0.9591210014745268,0.03734592503416539,5
nasa,oxford,20,no_soh,xgboost,0.5184426229508197,0.1952919733490451,0.12275142339931336,0.6017717479096916,0.24516129032258063,0.23684210526315788,0.8899746686719874,0.6392636977833481,0.5134099616858238,0.5224215246636772,0.5188299078169981,0.005660007950828878,5,0.4979508196721312,0.18523511609853652,0.06257269555103227,0.5609756741332521,0.2375,0.013157894736842105,-4.0899571960410785,-7.45356890559152,,,0.4981132075471698,0.004218996183961866,5,0.5184426229508197,0.1809963209705117,0.01375726233461326,0.547858453898016,0.24516129032258063,0.23684210526315788,4.272461836589892,3.9943301438226526,0.5134099616858238,0.5224215246636772,0.5188299078169981,0.005660007950828878,5,0.5184426229508197,0.20742061587283883,0.16417493683645196,0.6067636235886017,0.24516129032258063,0.23684210526315788,4.558973553116758,0.6324340424650333,,,0.5188299078169981,0.005660007950828878,5
nasa,oxford,20,no_cycle,xgboost,0.9651639344262296,0.2427908923936896,0.3277596590924077,0.6792573251619866,0.8172043010752689,1.0,211.98418553867708,-366.81345808125064,0.9422310756972111,0.989451476793249,0.9662709518220938,0.03196941069549116,5,0.9426229508196722,0.1677318205812978,0.2910941229825989,0.5206491352641504,0.7307692307692307,0.6447368421052632,29.29958799949258,-12.12879914233921,,,0.9448174395393858,0.047510873201665256,5,0.9651639344262296,0.1776658992950129,0.2904751333329975,0.5354232334182203,0.8172043010752689,1.0,673.0797077393007,-310.5749106302188,0.9422310756972111,0.989451476793249,0.9662709518220938,0.03196941069549116,5,0.9651639344262296,0.2200860302104526,0.28819554568742284,0.6301676851928149,0.8172043010752689,1.0,616.5101262507276,-402.4971028255504,,,0.9662709518220938,0.03196941069549116,5
nasa,oxford,20,no_soh_no_cycle,xgboost,0.6577868852459017,0.21639789375587898,0.18954442440299316,0.7519557057694637,0.3140495867768595,0.013157894736842105,8.796801124247347,24.982136097297744,0.5224215246636772,0.7966417910447761,0.6425466181176211,0.16794058425335606,5,0.4979508196721312,0.18203190334789116,0.029932969281462607,0.5509382833520362,0.2375,0.013157894736842105,0.5585567645478808,-0.41783344392036553,,,0.4981132075471698,0.004218996183961866,5,0.6577868852459017,0.1811500479803934,0.01276270317334352,0.548332570679392,0.3140495867768595,0.013157894736842105,26.59718864451412,31.765993308547248,0.5224215246636772,0.7966417910447761,0.6425466181176211,0.16794058425335606,5,0.6577868852459017,0.18582655209708804,0.0722229245866281,0.5598488762645047,0.3140495867768595,0.013157894736842105,32.6498660848056,24.98635902005403,,,0.6425466181176211,0.16794058425335606,5
nasa,oxford,20,soh_only,xgboost,0.9651639344262295,0.20044316827531747,0.338438623258844,0.6066354364058295,0.8172043010752689,1.0,16.89631910160686,-42.26905185134158,0.9422310756972112,0.989451476793249,0.9662709518220938,0.031969410695491196,5,0.9569672131147541,0.15824429559222075,0.2935364166375134,0.5072196167094709,0.7835051546391752,1.0,4.671141451977356,-7.179537927062092,,,0.9591210014745268,0.03734592503416533,5,0.9651639344262295,0.17476070256346013,0.31600384796662956,0.5393183563516109,0.8172043010752689,1.0,124.01223140914107,-24.029557709509614,0.9422310756972112,0.989451476793249,0.9662709518220938,0.031969410695491196,5,0.9651639344262295,0.2073442153612687,0.34108984607152026,0.6046819614377524,0.8172043010752689,1.0,33.82050719359811,-32.872485739326464,,,0.9662709518220938,0.031969410695491196,5
nasa,oxford,20,cycle_only,xgboost,0.540983606557377,0.5972240627322118,0.6453125854488462,1.7562071755903346,0.25333333333333335,0.25,2.6551950885299545,-7.258568337931841,0.5371747211895911,0.5448430493273543,0.5414334005396567,0.004696858913334488,5,0.5,0.20171230274082436,0.14359161793372327,0.594965918578513,0.2375,0.0,0.4578834279951294,-0.9442503069169044,,,0.5,0.0,5,0.45901639344262296,0.1995347758361185,0.13951800339262352,0.611135771172079,0.2375,0.013157894736842105,-11.05279101555155,-22.460463396255836,0.4551569506726457,0.4628252788104089,0.4585665994603433,0.004696858913334482,5,0.540983606557377,0.2640808388478556,0.2895850570624983,0.7213417105691275,0.25333333333333335,0.25,55.666844930436845,-7.556777047926726,,,0.5414334005396567,0.004696858913334488,5
nasa,oxford,20,sensors_only,xgboost,0.6577868852459017,0.21639789375587898,0.18954442440299316,0.7519557057694637,0.3140495867768595,0.013157894736842105,8.796801124247347,24.982136097297744,0.5224215246636772,0.7966417910447761,0.6425466181176211,0.16794058425335606,5,0.4979508196721312,0.18203190334789116,0.029932969281462607,0.5509382833520362,0.2375,0.013157894736842105,0.5585567645478808,-0.41783344392036553,,,0.4981132075471698,0.004218996183961866,5,0.6577868852459017,0.1811500479803934,0.01276270317334352,0.548332570679392,0.3140495867768595,0.013157894736842105,26.59718864451412,31.765993308547248,0.5224215246636772,0.7966417910447761,0.6425466181176211,0.16794058425335606,5,0.6577868852459017,0.18582655209708804,0.0722229245866281,0.5598488762645047,0.3140495867768595,0.013157894736842105,32.6498660848056,24.98635902005403,,,0.6425466181176211,0.16794058425335606,5
calce,oxford,20,full,xgboost,0.8498166522864539,0.7466359893821133,0.7498526042792946,6.840131803640273,0.6732574368063132,0.8289473684210527,6.199893093301399,-60.00404637168361,0.7638724911452184,0.909516172146485,0.7627492810446868,0.2453738942000501,5,0.5922131147540984,0.7309145106261385,0.7440333834109938,8.950304723348264,0.27636363636363637,0.21052631578947367,0.7782896376517996,-11.715022753926084,,,0.5926563048559077,0.012755887388305402,5,0.8498166522864539,0.6649732362541035,0.6961985903495144,2.0949830876034072,0.6732574368063132,0.8289473684210527,30.63165995537812,-83.48242857775494,0.7638724911452184,0.909516172146485,0.7627492810446868,0.2453738942000501,5,0.8498166522864539,0.6729713744318356,0.7028058935050574,2.2543300329732148,0.6732574368063132,0.8289473684210527,19.27230697151075,-59.88078790090594,,,0.7627492810446868,0.2453738942000501,5
calce,oxford,20,no_soh,xgboost,0.41630716134598794,0.7450935951308141,0.7487706566695123,6.608646328180148,0.24288579592380138,0.14473684210526316,0.38370775064764256,-4.577181849293299,0.26384571219335956,0.5544732643230932,0.3596208189216081,0.20810678191038437,5,0.5362920621225196,0.666485154053667,0.6980061986250645,2.799860147897557,0.252880393419589,0.17105263157894737,0.04416879923519991,-1.3349574011157024,,,0.5169645228897829,0.06287440719992662,5,0.41630716134598794,0.6627150228970171,0.694596477576048,2.075796046777364,0.24288579592380138,0.14473684210526316,414.70704228182205,-1104.935403230226,0.26384571219335956,0.5544732643230932,0.3596208189216081,0.20810678191038437,5,0.41630716134598794,0.6563887214976013,0.689765123639692,2.098578258230872,0.24288579592380138,0.14473684210526316,1.2945244278216452,-4.696154239068999,,,0.3596208189216081,0.20810678191038437,5
calce,oxford,20,no_cycle,xgboost,0.9672131147540983,0.7215532484593143,0.7394119789823889,4.9560629306473984,0.9018445556242629,0.9210526315789473,11.271764426296993,-91.03618952830182,0.9285043897981884,0.9814749780509219,0.9030039564319603,0.18210692607074394,5,0.6413934426229508,0.6526778868903527,0.6917103761695478,2.0677784499240195,0.30278884462151395,0.2894736842105263,41.26044080578134,-120.03369936084123,,,0.6420429217698334,0.019096197805457023,5,0.9672131147540983,0.6509958190540812,0.6861804870149255,1.9764419263624258,0.9018445556242629,0.9210526315789473,5691.625252413328,-14360.510120125635,0.9285043897981884,0.9814749780509219,0.9030039564319603,0.18210692607074394,5,0.9672131147540983,0.6153592113183942,0.6688769172816939,1.947164061062341,0.9018445556242629,0.9210526315789473,30.17033370241084,-91.00602834815405,,,0.9030039564319603,0.18210692607074394,5
