AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,dataset,model,H,method,seed,AUC_fold_mean,AUC_fold_std
0.7773986452330401,0.22392926986499645,0.22010376686237915,1.138979437785267,0.6082675350375484,0.25510204081632654,0.22376215970394253,-0.30271866366105044,,,0.9663108893317034,0.07388484263212629,11,nasa,gru,10,raw,42,0.8722406478011056,0.1216126819445077
0.5004910669150887,0.38692820864068933,0.4147514052250806,4.8596116906941855,0.390457054159899,0.09523809523809523,0.005831648583988138,-0.4256047256945238,,,0.5730625931445604,0.13948932792552957,11,nasa,gru,10,iso,42,0.7248359995371596,0.15898901726056153
0.6099195516847928,0.33993348883458546,0.3262000786956805,2.8960643573540876,0.460557128607843,0.16326530612244897,0.02335963215139588,-0.33162475071294445,,,0.9663108893317034,0.07388484263212629,11,nasa,gru,10,platt,42,0.8722406478011056,0.1216126819445077
0.7222438869390644,0.1967520693497004,0.20633120293918356,0.6445978639341532,0.5592325414271263,0.07482993197278912,0.5095651811739503,-0.2529869435972911,,,0.9663108893317034,0.07388484263212629,11,nasa,gru,10,temp,42,0.8722406478011056,0.1216126819445077
0.8282148239102529,0.18036790358102223,0.1682972028116495,0.9498463308488865,0.7310935402004352,0.524390243902439,0.28660563103701453,-0.40827653368053574,,,0.9923184697855749,0.022954013379444905,10,nasa,gru,20,raw,42,0.9061306726549512,0.09043970482512621
0.6512460233297985,0.3380246593431501,0.33841098396996266,3.8163041197040375,0.5341705765023935,0.11280487804878049,0.05590101468409515,0.080866310433647,,,0.5929824561403508,0.16409459235944618,10,nasa,gru,20,iso,42,0.7650594006868603,0.12133551407483403
0.7244865211810012,0.30640446411367445,0.3319111497478834,2.6541653506082032,0.6071362303614369,0.10060975609756098,0.07785174762925406,0.1552642827320203,,,0.9423184697855749,0.157077634859535,10,nasa,gru,20,platt,42,0.8933292949282003,0.11391140559445483
0.7902132053357147,0.17847584355739357,0.16112391218919359,0.6123278973384801,0.6605535515798833,0.3048780487804878,0.5549551162720189,-0.23751230395018616,,,0.9923184697855749,0.022954013379444905,10,nasa,gru,20,temp,42,0.9061306726549512,0.09043970482512621
0.7867197272739771,0.23410506597145936,0.22654374301162689,1.1777625299252688,0.744337463329628,0.3672316384180791,0.24036596357520928,-0.3813839166270887,,,0.9868511991153499,0.031118166472619106,7,nasa,gru,30,raw,42,0.9053603097242195,0.05732388858844128
0.6251701101076333,0.3228714115859579,0.312539276003448,3.3612323687577788,0.6299851559084113,0.2824858757062147,0.05612004817765075,0.24519094801335206,,,0.7310404386718403,0.23056530116633048,7,nasa,gru,30,iso,42,0.7941792578854621,0.14612328713299008
0.6319779509807963,0.32786673091456553,0.3389846744516411,2.074449782248999,0.6063268078668749,0.1553672316384181,0.08582022871450608,0.23155594042190794,,,0.9808988181629691,0.0321517328168247,7,nasa,gru,30,platt,42,0.8841358199283011,0.08340877762706825
0.7351574635380154,0.19813774463317896,0.15738521832889052,0.5978063402928696,0.6888443546704721,0.2033898305084746,0.7625973647879942,-0.28332757745700266,,,0.9868511991153499,0.031118166472619106,7,nasa,gru,30,temp,42,0.9053603097242195,0.05732388858844128
0.8277146767020185,0.19236044383297665,0.18746240468181408,1.0773063255709296,0.8343073801041033,0.5316455696202531,0.3037668777933561,-0.6658753789183115,,,0.8137649973093012,0.2805781246424627,6,nasa,gru,50,raw,42,0.8594501358303518,0.1329044281023113
0.7695278823126924,0.25178424929372123,0.24742934118737195,2.3540119601051464,0.7306306611566882,0.12151898734177215,0.09155164814074858,0.18531146825241343,,,0.6141910363429351,0.15961839399857605,6,nasa,gru,50,iso,42,0.8446794585115962,0.12471615193443886
0.7467909681833732,0.25350585838006284,0.2627577187817235,1.2302348417328715,0.660396558457953,0.26582278481012656,0.17604505879913845,0.6824214037188021,,,0.7304316639759678,0.2883465799284053,6,nasa,gru,50,platt,42,0.8560018599682829,0.12849670533217533
0.7993055080396853,0.1826706023994646,0.17663418983586537,0.592898802713083,0.6908996354190386,0.2759493670886076,0.7558398661872212,-0.1588172736059417,,,0.8137649973093012,0.2805781246424627,6,nasa,gru,50,temp,42,0.8594501358303518,0.1329044281023113
