source,target,H,feature_set,model,raw_AUC,raw_Brier,raw_ECE10,raw_LogLoss,raw_PRAUC,raw_SensAtFPR10,raw_CalSlope,raw_CalIntercept,raw_AUC_lo,raw_AUC_hi,raw_AUC_percell_mean,raw_AUC_percell_std,raw_n_cells_valid,iso_AUC,iso_Brier,iso_ECE10,iso_LogLoss,iso_PRAUC,iso_SensAtFPR10,iso_CalSlope,iso_CalIntercept,iso_AUC_lo,iso_AUC_hi,iso_AUC_percell_mean,iso_AUC_percell_std,iso_n_cells_valid,platt_AUC,platt_Brier,platt_ECE10,platt_LogLoss,platt_PRAUC,platt_SensAtFPR10,platt_CalSlope,platt_CalIntercept,platt_AUC_lo,platt_AUC_hi,platt_AUC_percell_mean,platt_AUC_percell_std,platt_n_cells_valid,temp_AUC,temp_Brier,temp_ECE10,temp_LogLoss,temp_PRAUC,temp_SensAtFPR10,temp_CalSlope,temp_CalIntercept,temp_AUC_lo,temp_AUC_hi,temp_AUC_percell_mean,temp_AUC_percell_std,temp_n_cells_valid
nasa,calce,20,with_soh,xgboost,0.8698154617698656,0.38849332359596556,0.45215930618550715,1.4351773490105117,0.9872309452931511,0.731363749688357,1.3793638904508654,6.642224159805876,0.7992508304435025,0.9662260431671522,0.9341880225728866,0.07935547219910814,6,0.8517264933528437,0.4316148059979995,0.5999149844010662,1.1443078080648499,0.9782835566296395,0.7632759910246821,5.846235043613915,11.595084456830472,,,0.884406376134334,0.060240701772042014,6,0.8698154617698656,0.37093344553614677,0.5387992568711286,0.9951118996393388,0.9872309452931511,0.731363749688357,9.2671118416076,15.383058799389493,0.7992508304435025,0.9662260431671522,0.9341880225728866,0.07935547219910814,6,0.8698154617698656,0.27414319276220667,0.4472561140999276,0.7498465317185403,0.9872309452931511,0.731363749688357,5.178712511590897,6.639280736379549,,,0.9341880225728866,0.07935547219910814,6
nasa,calce,20,no_soh,xgboost,0.8491822418026939,0.2999108262495211,0.4539528724873009,0.8038839958253361,0.9822111491757313,0.4832959361755173,1.4421276109128538,3.7737128453257167,0.7532394846122932,0.9854432199923775,0.9398997426500082,0.09694309605164039,6,0.8204910125845906,0.29925616114690734,0.48970388713358315,0.7929589273481373,0.9718879598096084,0.4950137122911992,3.1147622529086543,3.824614474108994,,,0.8612669974217,0.14897287367416812,6,0.8491822418026939,0.385693075140062,0.5638391152450783,0.9835822045102642,0.9822111491757313,0.4832959361755173,7.216800316501109,9.00610132398806,0.7532394846122932,0.9854432199923775,0.9398997426500082,0.09694309605164039,6,0.8491822418026939,0.24608486644459976,0.4322333454797191,0.6848350519005362,0.9822111491757313,0.4832959361755173,7.415118382290164,3.7733241864223923,,,0.9398997426500082,0.09694309605164039,6
nasa,calce,20,common_with_soh,xgboost,0.7585931936120816,0.47086912473650616,0.546583081159772,2.1269728543133133,0.9757095759395955,0.6216654200947395,0.49041498028473923,4.0464848008592496,0.672915588883096,0.8680971505203587,0.7902468485107176,0.10314431537876272,6,0.7694938602387739,0.46297840979939264,0.6192725462472095,1.2333924806448544,0.9625930789837838,0.6614310645724258,1.5146019376543531,4.408297657102881,,,0.7648552306220852,0.047658251918529036,6,0.7585931936120816,0.426242234219158,0.5806135427219092,1.1500223102317144,0.9757095759395955,0.6216654200947395,3.5760102363683277,7.831807304826094,0.672915588883096,0.8680971505203587,0.7902468485107176,0.10314431537876272,6,0.7585931936120816,0.349118133703031,0.5151159282888264,0.936482930054988,0.9757095759395955,0.6216654200947395,1.7443115579034387,4.046308089668683,,,0.7902468485107176,0.10314431537876272,6
nasa,calce,20,common_no_soh,xgboost,0.7811259016607284,0.5654720974210917,0.6462018681694242,1.7858270716212121,0.9755845895305844,0.5528546497132885,0.9091036497633578,4.684888192524796,0.7084387308065225,0.9640771520566113,0.8715849006080649,0.11583379423343441,6,0.690834557989439,0.4982377520271277,0.6508515192767671,1.2698924503177123,0.9533272792095268,0.4446522064323111,1.701561880077014,4.428066733741966,,,0.7544201763096566,0.10901479101238318,6,0.7811259016607284,0.480701795834615,0.6340530643159145,1.230108200430299,0.9755845895305844,0.5528546497132885,7.615587540566603,12.349380261705834,0.7084387308065225,0.9640771520566113,0.8715849006080649,0.11583379423343441,6,0.7811259016607284,0.3167452431641727,0.4952799495550608,0.8314085450250143,0.9755845895305844,0.5528546497132885,4.292669821435259,4.682128009438175,,,0.8715849006080649,0.11583379423343441,6
calce,nasa,20,with_soh,xgboost,0.5426070093589275,0.3430216371101224,0.31080931045589705,1.6063671625151088,0.48533026787926375,0.23785166240409208,0.07062326323956467,-0.48006607075045676,0.35567622172475016,0.6773687196676694,0.9037480484834348,0.15324024484837948,11,0.5709829082134527,0.3068978331057224,0.276448626112927,0.9781001869581416,0.4621649874465481,0.19948849104859334,0.15080282320255406,-0.6961642599991252,,,0.5895316804407713,0.18499065204270163,11,0.5426070093589275,0.3993688339526095,0.4088674449047103,1.1106376354068974,0.48533026787926375,0.23785166240409208,0.39171724927334717,-1.080602880168525,0.35567622172475016,0.6773687196676694,0.9037480484834348,0.15324024484837948,11,0.5426070093589275,0.27502458289419607,0.16062047537792895,0.7935548682316195,0.48533026787926375,0.23785166240409208,0.21998785297450796,-0.47995355730162476,,,0.9037480484834348,0.15324024484837948,11
calce,nasa,20,no_soh,xgboost,0.5655827548410668,0.33692378115576044,0.31229388367127386,1.5079822907514142,0.5011914515760377,0.23529411764705882,0.07914703739338516,-0.47877377327360243,0.42701403818741884,0.6784407997382895,0.985517767600448,0.027779409184487954,11,0.5749537273103221,0.3004678619937003,0.2664706173131488,0.964212019018636,0.4575630518934253,0.23529411764705882,0.15138036462954305,-0.690436353786402,,,0.5838498622589531,0.1868543576828145,11,0.5655827548410668,0.4055233638883009,0.4169687630214116,1.1190237309575854,0.5011914515760377,0.23529411764705882,0.42508619047804314,-1.1408151953134889,0.42701403818741884,0.6784407997382895,0.985517767600448,0.027779409184487954,11,0.5655827548410668,0.26651911377855186,0.15190799017183665,0.7629901513616906,0.5011914515760377,0.23529411764705882,0.2582682412602418,-0.47862551142183085,,,0.985517767600448,0.027779409184487954,11
calce,nasa,20,common_with_soh,xgboost,0.563998843684631,0.31984281927706676,0.26503837500324706,1.2383490447260288,0.48845468993701935,0.21994884910485935,0.08993506719002427,-0.4811949454235827,0.4234487380260636,0.6728246833951984,0.7626313564850814,0.35608586316638413,11,0.5601906314365213,0.2989942660845584,0.26196464360181276,0.8099079921950207,0.4278374933437845,0.1636828644501279,0.5410454343291348,-0.8478672663056708,,,0.6300619834710743,0.22310717141818914,11,0.563998843684631,0.3609001508711882,0.3527038996890818,1.0253731165149929,0.48845468993701935,0.21994884910485935,0.3135568257134649,-0.8863323971300883,0.4234487380260636,0.6728246833951984,0.7626313564850814,0.35608586316638413,11,0.563998843684631,0.26185970563228933,0.17589328381792227,0.7431142731133393,0.48845468993701935,0.21994884910485935,0.2675414816035844,-0.48130488661040777,,,0.7626313564850814,0.35608586316638413,11
calce,nasa,20,common_no_soh,xgboost,0.6010471078063332,0.3196093120144106,0.29288105750438337,1.1627753683623492,0.5169634517942963,0.23529411764705882,0.11929377389499682,-0.4894455797336416,0.4963449062649853,0.7028222694342945,0.9932560777780214,0.013414483430287616,11,0.5726732164437681,0.29857946840235133,0.27016194736236543,0.8202727913012243,0.45608945562059733,0.22506393861892582,0.4998089580339606,-0.8719369552229161,,,0.6293044077134986,0.22193881473603166,11,0.6010471078063332,0.3704005472273318,0.36743704651073733,1.0479571813746285,0.5169634517942963,0.23529411764705882,0.3426809200347696,-0.9503047642153208,0.4963449062649853,0.7028222694342945,0.9932560777780214,0.013414483430287616,11,0.6010471078063332,0.2538013544615614,0.13916137429631323,0.7160791626813106,0.5169634517942963,0.23529411764705882,0.3638751722870952,-0.4894937384781294,,,0.9932560777780214,0.013414483430287616,11
severson,oxford,20,with_soh,xgboost,0.9971958584987058,0.4060804447060374,0.5174670975771732,1.201410102218515,0.9886055344546935,1.0,13.226984116782441,-52.07201832458804,0.9907776669990029,0.9996957156767284,0.9928430698032432,0.011111295614609898,5,0.9974115616911129,0.2662036787974177,0.38907241968847794,0.9896381235167748,0.9873684210526316,1.0,12.932990613972208,-59.31042197823608,,,0.993659252853629,0.009447954430698687,5,0.9971958584987058,0.4089907156973432,0.4978058730363344,1.1810530975381242,0.9886055344546935,1.0,94.72739074899732,-303.31408591128087,0.9907776669990029,0.9996957156767284,0.9928430698032432,0.011111295614609898,5,0.9971958584987058,0.3142497816432516,0.4865728804086745,0.8369606400191912,0.9886055344546935,1.0,25.830817001312028,-52.047191811393766,,,0.9928430698032432,0.011111295614609898,5
severson,oxford,20,no_soh,xgboost,0.47131147540983603,0.6662961803081672,0.688748125731945,2.7868113417130655,0.2629757785467128,0.0,-0.029071612941790653,-1.065755495924798,0.4663677130044843,0.47701149425287354,0.4708117420480876,0.006579506918435009,5,0.4590163934426229,0.6495132495464578,0.673875261380305,3.3322505013385766,0.2576271186440678,0.0,-0.1173516621666451,-0.7478765678180035,,,0.4585665994603433,0.004696858913334464,5,0.47131147540983603,0.6313264981598892,0.6557305687213634,2.106388099739565,0.2629757785467128,0.0,0.5131397931004845,-2.589672307850248,0.4663677130044843,0.47701149425287354,0.4708117420480876,0.006579506918435009,5,0.47131147540983603,0.5664514898928898,0.6143743743461356,1.6843876419612323,0.2629757785467128,0.0,-0.05216869567785983,-1.0645479315087345,,,0.4708117420480876,0.006579506918435009,5
