target,model,feature_set,C_FN,C_FP,thr_raw,cost_raw,fnr_raw,fpr_raw,alert_raw,thr_platt,cost_platt,fnr_platt,fpr_platt,alert_platt,thr_iso,cost_iso,fnr_iso,fpr_iso,alert_iso,thr_temp,cost_temp,fnr_temp,fpr_temp,alert_temp
oxford,xgboost,with_soh,20.0,1.0,0.002111765323206784,0.7625,0.0,1.0,1.0,0.39272224449864795,0.7625,0.0,1.0,1.0,0.4365079365079365,0.7625,0.0,1.0,1.0,0.11484183804096823,0.7625,0.0,1.0,1.0
oxford,xgboost,with_soh,5.0,1.0,0.002111765323206784,0.7625,0.0,1.0,1.0,0.39272224449864795,0.7625,0.0,1.0,1.0,0.4365079365079365,0.7625,0.0,1.0,1.0,0.11484183804096823,0.7625,0.0,1.0,1.0
oxford,xgboost,no_soh,20.0,1.0,0.0016436324687674644,0.7625,0.0,1.0,1.0,0.4055062112267136,0.7625,0.0,1.0,1.0,0.4583333333333333,0.7625,0.0,1.0,1.0,0.11090313004665452,0.7625,0.0,1.0,1.0
oxford,xgboost,no_soh,5.0,1.0,0.0016436324687674644,0.7625,0.0,1.0,1.0,0.4055062112267136,0.7625,0.0,1.0,1.0,0.4583333333333333,0.7625,0.0,1.0,1.0,0.11090313004665452,0.7625,0.0,1.0,1.0
oxford,lightgbm,with_soh,20.0,1.0,0.0009823336336691035,0.7625,0.0,1.0,1.0,0.42439424258895636,0.7625,0.0,1.0,1.0,0.4739583333333332,0.7625,0.0,1.0,1.0,0.13103417316260144,0.7625,0.0,1.0,1.0
oxford,lightgbm,with_soh,5.0,1.0,0.0009823336336691035,0.7625,0.0,1.0,1.0,0.42439424258895636,0.7625,0.0,1.0,1.0,0.4739583333333332,0.7625,0.0,1.0,1.0,0.13103417316260144,0.7625,0.0,1.0,1.0
oxford,lightgbm,no_soh,20.0,1.0,0.0008840249200072757,0.7625,0.0,1.0,1.0,0.4426161114482187,0.7625,0.0,1.0,1.0,0.45792682926829287,0.7625,0.0,1.0,1.0,0.13206700848180622,0.7625,0.0,1.0,1.0
oxford,lightgbm,no_soh,5.0,1.0,0.0008840249200072757,0.7625,0.0,1.0,1.0,0.4426161114482187,0.7625,0.0,1.0,1.0,0.45792682926829287,0.7625,0.0,1.0,1.0,0.13206700848180622,0.7625,0.0,1.0,1.0
oxford,random_forest,with_soh,20.0,1.0,0.07913769692473348,0.7625,0.0,1.0,1.0,0.20975008284771737,0.7625,0.0,1.0,1.0,0.2087912087912088,0.7625,0.0,1.0,1.0,0.1919538808294454,0.7625,0.0,1.0,1.0
oxford,random_forest,with_soh,5.0,1.0,0.07913769692473348,0.7625,0.0,1.0,1.0,0.20975008284771737,0.7625,0.0,1.0,1.0,0.2087912087912088,0.7625,0.0,1.0,1.0,0.1919538808294454,0.7625,0.0,1.0,1.0
oxford,random_forest,no_soh,20.0,1.0,0.06870424795572459,0.7625,0.0,1.0,1.0,0.2700361135721026,0.7625,0.0,1.0,1.0,0.24999999999999997,0.7625,0.0,1.0,1.0,0.18235638683285987,0.7625,0.0,1.0,1.0
oxford,random_forest,no_soh,5.0,1.0,0.06870424795572459,0.7625,0.0,1.0,1.0,0.2700361135721026,0.7625,0.0,1.0,1.0,0.24999999999999997,0.7625,0.0,1.0,1.0,0.18235638683285987,0.7625,0.0,1.0,1.0
severson,xgboost,with_soh,20.0,1.0,0.002111765323206784,0.97920648268481,0.0,1.0,1.0,0.39272224449864795,0.97920648268481,0.0,1.0,1.0,0.4365079365079365,0.97920648268481,0.0,1.0,1.0,0.11484183804096823,0.97920648268481,0.0,1.0,1.0
severson,xgboost,with_soh,5.0,1.0,0.002111765323206784,0.97920648268481,0.0,1.0,1.0,0.39272224449864795,0.97920648268481,0.0,1.0,1.0,0.4365079365079365,0.97920648268481,0.0,1.0,1.0,0.11484183804096823,0.97920648268481,0.0,1.0,1.0
severson,xgboost,no_soh,20.0,1.0,0.0016436324687674644,0.97920648268481,0.0,1.0,1.0,0.4055062112267136,0.97920648268481,0.0,1.0,1.0,0.4583333333333333,0.97920648268481,0.0,1.0,1.0,0.11090313004665452,0.97920648268481,0.0,1.0,1.0
severson,xgboost,no_soh,5.0,1.0,0.0016436324687674644,0.97920648268481,0.0,1.0,1.0,0.4055062112267136,0.97920648268481,0.0,1.0,1.0,0.4583333333333333,0.97920648268481,0.0,1.0,1.0,0.11090313004665452,0.97920648268481,0.0,1.0,1.0
severson,lightgbm,with_soh,20.0,1.0,0.0009823336336691035,0.97920648268481,0.0,1.0,1.0,0.42439424258895636,0.97920648268481,0.0,1.0,1.0,0.4739583333333332,0.97920648268481,0.0,1.0,1.0,0.13103417316260144,0.97920648268481,0.0,1.0,1.0
severson,lightgbm,with_soh,5.0,1.0,0.0009823336336691035,0.97920648268481,0.0,1.0,1.0,0.42439424258895636,0.97920648268481,0.0,1.0,1.0,0.4739583333333332,0.97920648268481,0.0,1.0,1.0,0.13103417316260144,0.97920648268481,0.0,1.0,1.0
severson,lightgbm,no_soh,20.0,1.0,0.0008840249200072757,0.97920648268481,0.0,1.0,1.0,0.4426161114482187,0.97920648268481,0.0,1.0,1.0,0.45792682926829287,0.97920648268481,0.0,1.0,1.0,0.13206700848180622,0.97920648268481,0.0,1.0,1.0
severson,lightgbm,no_soh,5.0,1.0,0.0008840249200072757,0.97920648268481,0.0,1.0,1.0,0.4426161114482187,0.97920648268481,0.0,1.0,1.0,0.45792682926829287,0.97920648268481,0.0,1.0,1.0,0.13206700848180622,0.97920648268481,0.0,1.0,1.0
