AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,source,target,model,H,method
0.9713114754098361,0.11521069205554199,0.1975903644190069,0.3539465416239077,0.8444444444444444,1.0,33.08520406746864,15.726545089676312,0.9529411764705882,0.9914163090128755,0.9723172640004816,0.026193031268962094,5,nasa,oxford,hazard_xgb,10,raw
0.9713114754098361,0.14826184767946066,0.2166864693186131,0.4445139201215406,0.8444444444444444,1.0,22.798324601880662,-25.942586112584713,0.9529411764705882,0.9914163090128755,0.9723172640004816,0.026193031268962035,5,nasa,oxford,hazard_xgb,20,raw
0.9713114754098361,0.28307249809081314,0.37668860124688697,0.807940356954974,0.8444444444444444,1.0,17.272382777711112,-50.75657204533748,0.9529411764705882,0.9914163090128756,0.9723172640004816,0.026193031268962063,5,nasa,oxford,hazard_xgb,30,raw
0.9713114754098361,0.49645000570540354,0.546174049057575,2.53907724999801,0.8444444444444444,1.0,8.978992544978153,-70.95053615377495,0.9529411764705883,0.9914163090128756,0.9723172640004816,0.02619303126896208,5,nasa,oxford,hazard_xgb,50,raw
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa,oxford,hazard_logistic,10,raw
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa,oxford,hazard_logistic,20,raw
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa,oxford,hazard_logistic,30,raw
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa,oxford,hazard_logistic,50,raw
0.4169273080241588,0.7412908093172448,0.745495063668335,8.850931464706798,0.21989791269522047,0.06578947368421052,0.06557780808742393,-1.9390461096927725,0.28228788753779227,0.5578113278319581,0.479143594217707,0.16458835859667797,5,calce,oxford,hazard_xgb,10,raw
0.46581104400345125,0.7488530452612027,0.752153313416316,10.185794200938375,0.22486943721746275,0.25,2.361322960066498,-33.725870699533644,0.30097336065573776,0.5783582089552239,0.43695163437467305,0.19934271647453308,5,calce,oxford,hazard_xgb,20,raw
0.5307377049180327,0.750306374217305,0.7538393186134428,10.323629414594041,0.24918032786885247,0.25,4.800458174971064,-67.46231858545333,0.5278810408921933,0.5336322869955157,0.5310750504047426,0.0035226441850008438,5,calce,oxford,hazard_xgb,30,raw
0.5143442622950819,0.7536584748237161,0.7568236488938925,10.336255314666621,0.24281150159744408,0.25,0.87530255381225,-13.238473565109636,0.5094339622641509,0.5201793721973094,0.5148532996298637,0.007011717400413185,5,calce,oxford,hazard_xgb,50,raw
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,hazard_logistic,10,raw
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,hazard_logistic,20,raw
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,hazard_logistic,30,raw
0.5,0.2375,0.2375,3.281184520016896,0.2375,0.0,0.08398902762068323,-0.006079328982569948,0.5,0.5,0.5,0.0,5,calce,oxford,hazard_logistic,50,raw
0.3181082830025884,0.5853919032286623,0.6098015121309786,1.744094925258302,0.20337721975189904,0.039473684210526314,-0.12297750480382517,-0.9320253053621366,0.14115021008403358,0.4606956465363545,0.3054754998597574,0.19077328602563895,5,nasa+calce,oxford,hazard_xgb,10,raw
0.31357851596203623,0.7175344984094804,0.7248955757253241,5.1437897240646775,0.2026340517694965,0.039473684210526314,-0.13598327698183493,-0.31207662899685723,0.13497899159663865,0.4566267066267067,0.3032118035451543,0.18919322437338484,5,nasa+calce,oxford,hazard_xgb,20,raw
0.29669974115616904,0.7231386582506583,0.7320831637024359,9.191047029153832,0.19923480344959132,0.039473684210526314,-0.09636294436486617,-0.06939359338754802,0.13156512605042014,0.42271193960906334,0.28210335791028834,0.1714175345333209,5,nasa+calce,oxford,hazard_xgb,30,raw
0.2835688093183779,0.7287496463804853,0.7380327498581535,9.915795203773914,0.1862773931757993,0.02631578947368421,0.272866223537733,-4.871407909134509,0.13780737704918034,0.4049284049284049,0.2782239882454172,0.16748283240763048,5,nasa+calce,oxford,hazard_xgb,50,raw
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa+calce,oxford,hazard_logistic,10,raw
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa+calce,oxford,hazard_logistic,20,raw
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa+calce,oxford,hazard_logistic,30,raw
0.5,0.7625,0.7625,10.534327037925948,0.2375,0.0,-0.08398902762085624,-0.006079328982595122,0.5,0.5,0.5,0.0,5,nasa+calce,oxford,hazard_logistic,50,raw
0.8665505344269748,0.03021894924357236,0.11431008817554968,0.15399759258164422,0.5870143710042824,0.66748046875,1.6228389721956515,-1.9980090841086025,0.7684271054675785,0.9994812172069382,0.9945882154313009,0.030874738931687747,40,nasa,severson,hazard_xgb,10,raw
0.8840479735279405,0.08718912757066428,0.2336631254075756,0.3287488362568887,0.6256986508767524,0.7177287581699346,1.1556499253318873,-3.8647821183190114,0.7859479009325303,0.9983479896867493,0.9942754067253267,0.035294660143273704,40,nasa,severson,hazard_xgb,20,raw
0.9007727977235652,0.16989805952752618,0.35213623700929636,0.603146127226503,0.608022692111147,0.754564606741573,0.6752023286865784,-4.641340560936804,0.8109008476459124,0.9951473370414606,0.9954322526661006,0.02814294372994037,40,nasa,severson,hazard_xgb,30,raw
0.9160760438835626,0.36065357175729384,0.5485549853528205,1.4844852088958693,0.5565766348233313,0.7935855263157895,0.3328385975098274,-4.873451731675156,0.840349363347212,0.9849521864190551,0.9960846351714568,0.02334585062301628,40,nasa,severson,hazard_xgb,50,raw
0.5715458806842739,0.017395016414807098,0.017390995657160645,0.2092625088346877,0.3347895649248273,0.43408203125,0.6294964114309545,3.845930679353749,0.3650922291606932,0.8993617420741317,0.8746938502962063,0.24666489718967421,40,nasa,severson,hazard_logistic,10,raw
0.6073289560212436,0.020791460316327146,0.020783142326045164,0.23926009933107859,0.3145053024799091,0.4693627450980392,0.4951976628133434,2.1004382297486868,0.4015178020396158,0.8895935078636977,0.8581964324233022,0.2463293566085936,40,nasa,severson,hazard_logistic,20,raw
0.6263536005479632,0.024187650432761717,0.02417461738998656,0.27000388523724445,0.2872827516155637,0.4410112359550562,0.43626615264644003,1.39867428595096,0.42548236582352894,0.8728712826890017,0.8317243637889284,0.23951321214799265,40,nasa,severson,hazard_logistic,30,raw
0.6374593923108188,0.030979304536294838,0.030955216555086654,0.33234451443551727,0.2444282223247083,0.35389254385964913,0.353566897032538,0.5280303082507597,0.45337135615041574,0.8358361588068183,0.7677111594255382,0.2209788826261511,40,nasa,severson,hazard_logistic,50,raw
0.6746210243410489,0.5095438773445685,0.6162241060924774,1.4399360388894304,0.03237135890343385,0.0458984375,0.8124457110248793,-5.306839300381022,0.6601465661983495,0.6951995966799459,0.7930441294668105,0.06316106030687017,40,calce,severson,hazard_xgb,10,raw
0.737355516441128,0.765737840454478,0.8040820623300697,8.030745149626968,0.051696768599501196,0.0886437908496732,0.3879753843229521,-8.28321700362686,0.7114157765656518,0.7737477417172156,0.8263639432662775,0.043754787921395685,40,calce,severson,hazard_xgb,20,raw
0.7927456537463436,0.8319697650197421,0.8563008312493019,10.033887653441047,0.061168925735683055,0.15484550561797752,2.8883278507251355,-43.19228636749322,0.7411377681902931,0.8503755238692274,0.8794988866339171,0.04013972864146687,40,calce,severson,hazard_xgb,30,raw
0.5980399891305301,0.8935711313794699,0.9110454441996706,11.777693921254082,0.03825503355704698,0.08168859649122807,2.149218249322918,-32.961263241764016,0.5903215190844121,0.6058678955060076,0.6813264515533131,0.06267216595215724,40,calce,severson,hazard_xgb,50,raw
0.5,0.9826041162330437,0.9826041162330437,13.5751775594844,0.017395883766956315,0.0,-0.29044986011545515,-0.02102346344332327,0.5,0.5,0.5,0.0,40,calce,severson,hazard_logistic,10,raw
0.5,0.97920648268481,0.97920648268481,13.528237520724417,0.02079351731518997,0.0,-0.27738836847530945,-0.020078041083648246,0.5,0.5,0.5,0.0,40,calce,severson,hazard_logistic,20,raw
0.5,0.9758088491365764,0.9758088491365764,13.481297481964436,0.024191150863423626,0.0,-0.26623712074384215,-0.019270886799096776,0.5,0.5,0.5,0.0,40,calce,severson,hazard_logistic,30,raw
0.5,0.969013582040109,0.969013582040109,13.387417404444468,0.030986417959890936,0.0,-0.24789585564753724,-0.017943301665303626,0.5,0.5,0.5,0.0,40,calce,severson,hazard_logistic,50,raw
0.8425489980595885,0.054916880420355675,0.17649077123886056,0.2356073757831512,0.2428448009683492,0.6533203125,2.75933113046931,-1.3535821534267312,0.7355235070985084,0.9887622407782998,0.9770182655060996,0.059286292965187615,40,nasa+calce,severson,hazard_xgb,10,raw
0.8655142995152566,0.23819867501933872,0.4184703670901867,0.6821054559219533,0.17990770566098713,0.7026143790849673,1.4477225741344137,-4.910891705863655,0.7697948264209106,0.9777441402807239,0.9748311825814027,0.04828692248755554,40,nasa+calce,severson,hazard_xgb,20,raw
0.883615354320235,0.49668817561229284,0.636373571063584,1.7405576023954952,0.19047245886193476,0.7415730337078652,0.5732832272174619,-5.668861984731573,0.7986860279372378,0.973676196413253,0.9833009829638885,0.03943459365147997,40,nasa+calce,severson,hazard_xgb,30,raw
0.8741971405512581,0.7885005700012592,0.8348141988909321,5.493260368177443,0.1401506941813417,0.7870065789473685,0.4253060815372802,-7.532935409140009,0.8153795663808219,0.931938538751333,0.9609809111137521,0.03457282377026271,40,nasa+calce,severson,hazard_xgb,50,raw
0.9150119134867652,0.01747412933035656,0.01723309453000245,0.12306971013377875,0.19339656383070708,0.70556640625,2.085603701869461,11.980640404550083,0.8684381720277687,0.9788473228419696,0.9995024559987762,0.0024625380738735755,40,nasa+calce,severson,hazard_logistic,10,raw
0.9158026156944273,0.02095382896323367,0.02036710133473459,0.13370605611306693,0.20343910751356742,0.7034313725490197,2.1226525107680256,10.966815864426383,0.8726674582485521,0.968600866098779,0.9994858873761256,0.0023841044735466842,40,nasa+calce,severson,hazard_logistic,20,raw
0.9108028915167614,0.024385749948583623,0.02344515163744546,0.14715848144943666,0.20692718668408344,0.6509831460674157,2.0836673946108983,10.01838587343948,0.8729120953527749,0.9562190438224757,0.9993359310589434,0.002398301301807605,40,nasa+calce,severson,hazard_logistic,30,raw
0.8884761211812874,0.031152074674265496,0.029511442751824483,0.176321397945811,0.20476255128967202,0.5657894736842105,1.9144632256276635,8.225886398024823,0.8591142438587808,0.9260755855188154,0.9991015478144902,0.0023789492421841395,40,nasa+calce,severson,hazard_logistic,50,raw
