AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,dataset,model,H,method,AUC_fold_mean,AUC_fold_std
0.7965519476310844,0.20473116564933824,0.2023094705193976,0.8151032347781164,0.7178090456975131,0.5255255255255256,0.5264206346230811,1.025421354519821,0.6482225390790636,0.9572878813060964,0.8654065972592543,0.17089204596303295,18,nasa,hazard_xgb,10,raw,0.9184417658389069,0.0864976337160144
0.8223008266851892,0.1751414597254643,0.14080189893352008,0.6593855215440831,0.801875408008075,0.5652173913043478,0.5022776121469293,0.5637623659264485,0.6735610074972234,0.972161373159282,0.9515865825496103,0.08946157891786254,11,nasa,hazard_xgb,20,raw,0.9347342523030049,0.08620041296293596
0.8348568515513423,0.17447681682556623,0.1324510907520217,0.6358193258603049,0.8194284586627077,0.5990675990675991,0.41631584581392156,0.1280942840264058,0.7008312637529012,0.9645273371091383,0.9492754036951204,0.07997490341073923,11,nasa,hazard_xgb,30,raw,0.9366027331588466,0.0810272704982613
0.850378873986512,0.17231559387891787,0.13093834554171824,0.8627748291138116,0.8377095017911902,0.5783132530120482,0.24906995542794405,-0.4783413488956057,0.7296018911238406,0.9605927258639746,0.9555547186499568,0.06208019239197465,7,nasa,hazard_xgb,50,raw,0.9271714482872252,0.07011029669731608
0.8538898610841056,0.20190464092029098,0.19060654963229234,0.6533702376635488,0.6589188281590768,0.4144144144144144,0.4874234980370141,0.36533081649250576,0.755123031017729,0.9392470025534423,0.8344261848247355,0.19776211489246145,18,nasa,hazard_logistic,10,raw,0.9020282097248625,0.063662141650984
0.8610614814487668,0.1818956438793028,0.1639727829643401,0.6360245434531974,0.7415888689265436,0.48081841432225064,0.46044563478623796,0.1925949722482364,0.7644292829254183,0.9444923742148646,0.9101230284661965,0.1639178874196754,11,nasa,hazard_logistic,20,raw,0.8990567248922592,0.05680704576574807
0.8672612862930058,0.16359311376674154,0.1274761922131788,0.5909090656464506,0.7967883005006944,0.5501165501165501,0.48484306063063876,0.131720598500628,0.7802668862989502,0.9418338338883527,0.9006071698716636,0.17524882221402982,11,nasa,hazard_logistic,30,raw,0.8961364112287551,0.04506988900229927
0.8628665605819504,0.15363970125689524,0.11103320045695059,0.576637642305793,0.8530729596884921,0.6325301204819277,0.4622238923156724,0.04119523517585609,0.7716882661035669,0.9469294740906165,0.8801837492313682,0.23278976444967753,7,nasa,hazard_logistic,50,raw,0.867360127589713,0.05232767694190445
0.7889826709294572,0.12675739910937953,0.12868684295303534,0.652287445134449,0.9667913238179827,0.17759356945491084,0.19412878841941464,1.7334384962515474,0.5818112505670214,0.961978287030955,0.8936994199608804,0.13531424563090885,6,calce,hazard_xgb,10,raw,0.8936994199608804,0.13531424563090885
0.787921997909406,0.11251653807957307,0.11142651237615048,0.6023111489670296,0.967085187801503,0.21453502867115432,0.17395760948093691,1.2348860109886928,0.5897426558981127,0.9563832446406191,0.8930224803406981,0.13045619075778392,6,calce,hazard_xgb,20,raw,0.8930224803406981,0.13045619075778392
0.8027899536074228,0.10673958654519135,0.10512530982222945,0.6259858386600583,0.9733558082519029,0.2356656346749226,0.1591573628622773,1.1658361916889908,0.6380940130035259,0.953921826649663,0.9160766944664008,0.09531594988595159,5,calce,hazard_xgb,30,raw,0.9160766944664008,0.0953159498859516
0.7780305371959708,0.08794542729500054,0.08427408652406795,0.6503979316781994,0.9738934002417838,0.39388379204892965,0.13296111096056143,1.3320816827295012,0.6746380463724032,0.9328154761123052,0.889436889602359,0.09623078589744599,5,calce,hazard_xgb,50,raw,0.8894368896023588,0.09623078589744599
0.8497432356221234,0.14926779958708025,0.15701326155556258,0.6639446267574409,0.9839830913210135,0.6420497362471741,0.17793113237258565,1.4959672487484996,0.691174670132504,0.9565323252523332,0.9790611622475903,0.042354447079708646,6,calce,hazard_logistic,10,raw,0.9790611622475905,0.042354447079708646
0.8248593617902387,0.12699086253861175,0.13284632366490703,0.5791093969431562,0.9781626661400826,0.6407379705809025,0.17589224534376566,1.4191445307222241,0.6258636121591153,0.9570329286119619,0.9479711766595877,0.11887420779123944,6,calce,hazard_logistic,20,raw,0.9479711766595877,0.11887420779123944
0.8256843610904608,0.11413401011428326,0.11569848485104157,0.5383211715346217,0.9799776775867541,0.7379566563467492,0.17268719884569833,1.4122909135800215,0.6171682286392861,0.9564878769156658,0.9357779378903823,0.13789158360773685,5,calce,hazard_logistic,30,raw,0.9357779378903823,0.13789158360773685
0.8358745190884878,0.09770752881506846,0.09097634483038676,0.4828482530814192,0.9848854289087224,0.7493577981651376,0.16709287016984206,1.4808279550592605,0.628047373120179,0.9514547213348209,0.9451532186334507,0.11710511202290015,5,calce,hazard_logistic,50,raw,0.9451532186334507,0.11710511202290015
