AUC,Brier,ECE10,LogLoss,PRAUC,SensAtFPR10,CalSlope,CalIntercept,AUC_lo,AUC_hi,AUC_percell_mean,AUC_percell_std,n_cells_valid,dataset,baseline,H,model
0.6604619007496705,,,,0.5276185758787084,0.2882882882882883,,,0.5195694873722576,0.7867998459356575,0.8778349544533119,0.2294675133702116,18,nasa,soh_dist,10,logistic_soh_dist
0.6578029204993034,,,,0.6001681871869833,0.32225063938618925,,,0.5225536563618739,0.7816753549367784,0.9782811775919833,0.03274621584261481,11,nasa,soh_dist,20,logistic_soh_dist
0.6808861700347509,,,,0.6640498858459278,0.372960372960373,,,0.538143138982344,0.8060062741706144,0.963884952316809,0.09454450152838874,11,nasa,soh_dist,30,logistic_soh_dist
0.7195536864438887,,,,0.7451499792350571,0.43373493975903615,,,0.5809390290006171,0.8466921876069089,0.9864412923936733,0.012423250398204078,7,nasa,soh_dist,50,logistic_soh_dist
0.5262795169269989,0.23138977501578406,0.12349231389382533,0.6546227218483505,0.3711607877110259,0.0990990990990991,0.24699984530513405,-0.5465380294776901,0.41758454497496184,0.6863071697389007,0.8778349544533119,0.2294675133702116,18,nasa,soh_only,10,logistic_soh_only
0.5563101494778513,0.24009809790696016,0.087647963011544,0.6723249589841355,0.47155532337013795,0.13810741687979539,0.39745978648045616,-0.2908152078531062,0.4406713752342034,0.70663080225464,0.9782811775919833,0.03274621584261481,11,nasa,soh_only,20,logistic_soh_only
0.5974078787100491,0.23814360225176306,0.11238668004559771,0.6691819687837878,0.5596968969750302,0.22377622377622378,0.5337977860552757,-0.1545419350817334,0.46494183118172466,0.7545983498979569,0.963884952316809,0.09454450152838874,11,nasa,soh_only,30,logistic_soh_only
0.6550617564598015,0.23002923762601915,0.09752582155824575,0.6513175402612013,0.6811224793845116,0.37751004016064255,0.6685751304657007,-0.031744606477797935,0.5021537798402333,0.8006778850729043,0.9864412923936733,0.012423250398204078,7,nasa,soh_only,50,logistic_soh_only
0.4508026011623134,0.2601025534757212,0.2121590825902534,0.7253975805637397,0.2808734300418401,0.009009009009009009,-0.6877563079935085,-1.3460986318939097,0.3440592479187349,0.609591903050179,1.0,0.0,18,nasa,cycle_only,10,logistic_cycle_only
0.3539931022576255,0.28127514636355677,0.19628690383681538,0.7671544039650451,0.3012337431392223,0.01278772378516624,-1.2101413253485278,-1.2420209220763532,0.24548843929798986,0.5150180507472117,0.9090909090909091,0.30151134457776363,11,nasa,cycle_only,20,logistic_cycle_only
0.37291562082880947,0.28487119055474086,0.23408501849660363,0.7714936148709338,0.3443466956782347,0.018648018648018648,-0.965689584670675,-0.7464406601871457,0.2544412795100627,0.5253641803675049,0.9090909090909091,0.30151134457776363,11,nasa,cycle_only,30,logistic_cycle_only
0.37414563916041527,0.2893325479663947,0.20579550636285107,0.7783902208524086,0.40971622485922066,0.02610441767068273,-0.9936521701580873,-0.17862729373851813,0.2307747228120508,0.5365475249860683,1.0,0.0,7,nasa,cycle_only,50,logistic_cycle_only
0.4385226953572277,0.25985764525429017,0.21304146586749093,0.7326898418318968,0.2966201183112387,0.08108108108108109,-0.1882932708637434,-0.8940885995877127,0.32703832411256534,0.6197940773231579,0.9414236874236875,0.1872202025671206,18,nasa,soh_cycle,10,logistic_soh_cycle
0.40843427672072175,0.27601628437745346,0.21142400128260994,0.7648440274049234,0.36036532288069545,0.12276214833759591,-0.09463992969318988,-0.5398826585005507,0.27557315609492083,0.6213562116203498,0.9844398287188256,0.025946241686094235,11,nasa,soh_cycle,20,logistic_soh_cycle
0.4819162473586514,0.2711098748305918,0.18342544500131955,0.7517303535290366,0.44777493766265786,0.17715617715617715,0.11822057844326049,-0.29173439233239873,0.3521307239868075,0.695061699430721,0.9673054882385025,0.08683131926652085,11,nasa,soh_cycle,30,logistic_soh_cycle
0.5485034477532772,0.26217870210696137,0.16593199190790106,0.7282304146471322,0.5788571774683927,0.26506024096385544,0.3205995219689,-0.04164732707039928,0.4048211660355376,0.7665976284330313,0.9861602242554623,0.013589908426550567,7,nasa,soh_cycle,50,logistic_soh_cycle
0.8247672132564218,0.15682319830149147,0.0955676870139248,0.5087490086051348,0.6447830810438334,0.5645645645645646,0.7006442990656646,-0.21267797347517417,0.6754362969051698,0.9273941067051199,0.515607892400853,0.27009733944602843,18,nasa,sensors,10,logistic_sensors
0.7971349074746956,0.17260330248818057,0.10725926156451492,0.5621865016365077,0.696427955986243,0.6368286445012787,0.6494934073609545,-0.24875996820259733,0.6259382086230904,0.9121393559308023,0.4432819384022592,0.2717365687719413,11,nasa,sensors,20,logistic_sensors
0.768888318137066,0.19455701160922476,0.11016950204724198,0.6033282184628798,0.7111888797546649,0.5291375291375291,0.6158870614273971,-0.23451205406614647,0.5887769770988199,0.8973591396080907,0.38725722927560696,0.3008744042615937,11,nasa,sensors,30,logistic_sensors
0.6939418049556718,0.24045967260421575,0.16383676004806313,0.7080510587807558,0.6800282418367253,0.24497991967871485,0.43057936866407903,-0.13245270522014913,0.5083156302933239,0.8653184519911035,0.34008707805700295,0.3320078281155196,7,nasa,sensors,50,logistic_sensors
0.8618877870676432,0.15702197669774057,0.10450769801777413,0.47741840427320115,0.7116185586170821,0.43843843843843844,0.5513362026793882,-0.1349216007841916,0.768103292937889,0.9393339851237593,0.886578314684595,0.14616077560551918,18,nasa,full,10,logistic_full
0.8623502912870835,0.1509840179097595,0.09266537918633927,0.49872633790337917,0.7628078754101845,0.5089514066496164,0.5761018756048583,-0.07481303894108102,0.7665998679979522,0.9418957970538439,0.9583961019720746,0.036308155244797295,11,nasa,full,20,logistic_full
0.8801576831626916,0.13804934801895657,0.06954968539981467,0.46190993455542656,0.8210467070842107,0.6130536130536131,0.6451436023653634,-0.005299807246529832,0.7979046410267551,0.9543502391397862,0.9563114485972687,0.06843035311642583,11,nasa,full,30,logistic_full
0.8780935060998712,0.13917679322955073,0.06865384991171121,0.46167547381287743,0.8692579148638435,0.6646586345381527,0.6652550554380362,0.03111930400269151,0.7971446919066367,0.9532816716695756,0.9612669517431421,0.04543747963174435,7,nasa,full,50,logistic_full
0.7987812407248307,,,,0.9796522831177963,0.7210499874403417,,,0.6986881618460565,0.8619057144083274,0.8185953821566997,0.07376876387864591,6,calce,soh_dist,10,logistic_soh_dist
0.7974764194526935,,,,0.9811035154374904,0.7220144602343556,,,0.7010669227767997,0.861329926987154,0.8102536943773878,0.0808973077230352,6,calce,soh_dist,20,logistic_soh_dist
0.7986413467962772,,,,0.9826285811089833,0.7230959752321982,,,0.7031946867725002,0.8624547809978597,0.8299211866110522,0.076705834929009,5,calce,soh_dist,30,logistic_soh_dist
0.8008496925454606,,,,0.9854746172534202,0.7299082568807339,,,0.7074064397042354,0.8685601277955975,0.8390955801853768,0.07885293976862702,5,calce,soh_dist,50,logistic_soh_dist
0.7426218115816666,0.08015173950368062,0.05265430707078223,0.2669631173440361,0.9723448387133786,0.5973373524240141,0.7292889534135416,0.5266830960313075,0.6211670347007772,0.8496086524222208,0.8185953821566997,0.07376876387864591,6,calce,soh_only,10,logistic_soh_only
0.7346321876443157,0.07498389101593719,0.050134149295442604,0.255075368515664,0.9735771082529441,0.587135377711294,0.703430455698443,0.6036930895025624,0.6116953326421932,0.8467230288092424,0.8102536943773878,0.0808973077230352,6,calce,soh_only,20,logistic_soh_only
0.729781964297477,0.070185907504783,0.041007640214912884,0.2434608919895419,0.9749915715576623,0.5808049535603715,0.6815603180664762,0.6745741670197475,0.6066217068610459,0.8475828007005115,0.8299211866110522,0.076705834929009,5,calce,soh_only,30,logistic_soh_only
0.7167000975524207,0.060806175293728504,0.025562166288566585,0.2204842575676632,0.9775079291680966,0.5680733944954128,0.6269930323630695,0.8574366834702742,0.5952898718893478,0.8496211675951145,0.8390955801853768,0.07885293976862702,5,calce,soh_only,50,logistic_soh_only
0.9386920883274673,0.05288836359390033,0.020798773635789997,0.16990111006592634,0.9938799997827275,0.8187641296156745,0.7182984380865786,0.21952693844396987,0.876824548954475,0.9877659427687275,1.0,0.0,6,calce,cycle_only,10,logistic_cycle_only
0.9356334075666038,0.05174970186484132,0.02136779089783148,0.16585277980240826,0.9941048699015801,0.8142607828471703,0.7074018707806234,0.2537861739514739,0.872306230021957,0.9870093535313141,1.0,0.0,6,calce,cycle_only,20,logistic_cycle_only
0.9337523408019422,0.04993429375877334,0.019781452212250375,0.16047332750280777,0.9944036229912675,0.8110216718266254,0.6996430553516936,0.2830584757929239,0.8701205293921896,0.9865234917666855,1.0,0.0,5,calce,cycle_only,30,logistic_cycle_only
0.929847971676915,0.045782245003183036,0.019174773859647092,0.14854585801659886,0.9950085477313171,0.8081957186544343,0.6848793777662607,0.3478212185325337,0.8707737322943527,0.9860137691386507,1.0,0.0,5,calce,cycle_only,50,logistic_cycle_only
0.9385132231536896,0.05344802446758942,0.02122182201218757,0.17125704436291303,0.9938720349990635,0.8299422255714645,0.6919007102139204,0.23577207740282685,0.8807987522643324,0.9869320267681686,0.9992043313838742,0.0012434505297008905,6,calce,soh_cycle,10,logistic_soh_cycle
0.9352427799641002,0.052323844626664846,0.020760196620917166,0.16713972506485852,0.9940789625135622,0.8266018449264523,0.6831220118324134,0.27172617868583065,0.8759648014697315,0.9864400089772531,0.9972095098198741,0.005837799220395288,6,calce,soh_cycle,20,logistic_soh_cycle
0.9328570487545522,0.050668167935502925,0.025048160610999157,0.16233242499583875,0.9943374489225254,0.8225386996904025,0.6695192580956907,0.3076207238340137,0.8728698755948902,0.9856166145970972,0.999475223477565,0.0005944970968971171,5,calce,soh_cycle,30,logistic_soh_cycle
0.9272888099700766,0.04670256046565409,0.02077224844209028,0.15179393260315133,0.9948268760153784,0.8161467889908257,0.6438277827173438,0.39024780748169136,0.8702558745083141,0.985941909900922,0.9998074870144407,0.00023129035446202838,5,calce,soh_cycle,50,logistic_soh_cycle
0.6537240283043548,0.09221922526585209,0.07704978647406084,0.3262635413517064,0.952316634214785,0.1950514945993469,0.27445978616520994,1.5871495625883671,0.4264241563494864,0.8068062585712736,0.7792639606272772,0.09698730662358782,6,calce,sensors,10,logistic_sensors
0.6452926042693423,0.08643691109430307,0.07241594197357251,0.3151518074048107,0.9540522175856226,0.16965843929194716,0.2392899390274022,1.7348373648230266,0.39713933135937374,0.8026195980103871,0.7703053820806356,0.10989227655430961,6,calce,sensors,20,logistic_sensors
0.6475920088080025,0.08100935318647061,0.06763342718692233,0.29955453553407607,0.9581700854237103,0.22885448916408668,0.23811635214096413,1.79569301505475,0.3840695512588817,0.8047032553865313,0.7960246564912454,0.11195014150373252,5,calce,sensors,30,logistic_sensors
0.6625091797923996,0.07031399661353654,0.05771684985758761,0.2639947105181351,0.9674961897485764,0.26458715596330273,0.26331980631024304,1.8440408907477002,0.38793982725543796,0.8106391190991048,0.8181996238852356,0.1179748466817026,5,calce,sensors,50,logistic_sensors
0.8868210250310244,0.07891466698415811,0.06069476595904598,0.2767175844309897,0.9884649709976496,0.7452901281085155,0.3708790848636051,0.6614598527394718,0.7922513148839513,0.9725016535153332,0.9987910248930983,0.0018243551920635772,6,calce,full,10,logistic_full
0.879426163142778,0.07782901325307334,0.0626586331627527,0.2750540489599407,0.9887258646728823,0.7486910994764397,0.352647255543732,0.756443105558765,0.7773140999321623,0.9684276144523175,0.9952010804056289,0.008415028652594104,6,calce,full,20,logistic_full
0.8775369587924755,0.07534764676245893,0.060191723559565855,0.26614757263147876,0.9894712668136443,0.7581424148606811,0.34514486851490805,0.8243179463586072,0.7757552670396037,0.966777881944972,0.9981947397183595,0.0018962866346876233,5,calce,full,30,logistic_full
0.8794789166200826,0.06905589442231343,0.055279365879140695,0.24005632108208888,0.9913472169298118,0.7716207951070336,0.3416258410825853,0.9466570447145893,0.7841449085402504,0.9645210540100092,0.9966603902998752,0.005978420746709199,5,calce,full,50,logistic_full
